reviewer;paper
Marco Villani 0001;Design, Control, and Experimentation of Internally-Actuated Rovers for the Exploration of Low-gravity Planetary Bodies.
James G. Bellingham;Design, Control, and Experimentation of Internally-Actuated Rovers for the Exploration of Low-gravity Planetary Bodies.
Chong Liu;Design, Control, and Experimentation of Internally-Actuated Rovers for the Exploration of Low-gravity Planetary Bodies.
Yaguo Lei;Autonomous Exploration and Motion Planning for an Unmanned Aerial Vehicle Navigating Rivers.
Sebastian Schüller;Autonomous Exploration and Motion Planning for an Unmanned Aerial Vehicle Navigating Rivers.
Yong Shi 0001;Autonomous Exploration and Motion Planning for an Unmanned Aerial Vehicle Navigating Rivers.
Bernhard K. Aichernig;The specification of distributed sensing and control.
Robert Rand 0001;The specification of distributed sensing and control.
Blair Bethwaite;The specification of distributed sensing and control.
Pedro F. Santana;Robust discrete nonlinear feedback control for robotic manipulators.
Zoltán Rácz;Robust discrete nonlinear feedback control for robotic manipulators.
Barbara Mazzolai;Robust discrete nonlinear feedback control for robotic manipulators.
Fabrizio Montesi;Neural Networks Based Control of Mobile Robots: Development and Experimental Validation.
Tobias Ley;Neural Networks Based Control of Mobile Robots: Development and Experimental Validation.
Samir Cerimovic;Neural Networks Based Control of Mobile Robots: Development and Experimental Validation.
Yoshito Okada;Parent-child-based navigation method of multiple autonomous underwater vehicles for an underwater self-completed survey.
Mark F. Hansen;Parent-child-based navigation method of multiple autonomous underwater vehicles for an underwater self-completed survey.
Kai Heussen;Parent-child-based navigation method of multiple autonomous underwater vehicles for an underwater self-completed survey.
Kyohei Otsu;Grasping posture learning with noisy sensing information for a large scale of multifingered robotic systems.
Davide Scaramuzza 0001;Grasping posture learning with noisy sensing information for a large scale of multifingered robotic systems.
Matthew R. Walter;Grasping posture learning with noisy sensing information for a large scale of multifingered robotic systems.
Jean Sequeira;Multi-objective learning control for robotic manipulator.
Shaohui Foong;Multi-objective learning control for robotic manipulator.
Tomasz Grodzicki;Multi-objective learning control for robotic manipulator.
Markus Tauber;Design and testing of the JPL-Nautilus Gripper for deep-ocean geological sampling.
Werner Haas 0001;Design and testing of the JPL-Nautilus Gripper for deep-ocean geological sampling.
Wolfram Burgard;Design and testing of the JPL-Nautilus Gripper for deep-ocean geological sampling.
Bernard Favre-Bulle;Design and field test of a foldable wing unmanned aerial-underwater vehicle.
Enguang Guan;Design and field test of a foldable wing unmanned aerial-underwater vehicle.
Panos Kotsampopoulos;Design and field test of a foldable wing unmanned aerial-underwater vehicle.
Timothy D. Barfoot;Mapping, Planning, and Sample Detection Strategies for Autonomous Exploration.
Li Liu;Mapping, Planning, and Sample Detection Strategies for Autonomous Exploration.
Tyson Govan Phillips;Mapping, Planning, and Sample Detection Strategies for Autonomous Exploration.
Dario Bonino;Learning control for a class of nonlinear differential-algebraic systems with application to constrained robots.
Helmut Schreiber;Learning control for a class of nonlinear differential-algebraic systems with application to constrained robots.
Lydia E. Kavraki;Learning control for a class of nonlinear differential-algebraic systems with application to constrained robots.
Tom Richardson 0002;Robotics and Automation for Icebreaker.
Esteban Walter Gonzalez Clua;Robotics and Automation for Icebreaker.
Yong Liu 0007;Robotics and Automation for Icebreaker.
Yuanbo Bi;Coverage Path Planning with Real-time Replanning and Surface Reconstruction for Inspection of Three-dimensional Underwater Structures using Autonomous Underwater Vehicles.
Ana-Maria Suduc;Coverage Path Planning with Real-time Replanning and Surface Reconstruction for Inspection of Three-dimensional Underwater Structures using Autonomous Underwater Vehicles.
René Braunstein;Coverage Path Planning with Real-time Replanning and Surface Reconstruction for Inspection of Three-dimensional Underwater Structures using Autonomous Underwater Vehicles.
Albert Palomer;Leaf-density estimation for fruit-tree canopy based on wind-excited audio.
Oussama Khatib;Leaf-density estimation for fruit-tree canopy based on wind-excited audio.
Maria L. Gini;Leaf-density estimation for fruit-tree canopy based on wind-excited audio.
Michael Perschbacher;High-precision control of tracked field robots in the presence of unknown traction coefficients.
Gianluigi Zavattaro;High-precision control of tracked field robots in the presence of unknown traction coefficients.
Valerie Maxville;High-precision control of tracked field robots in the presence of unknown traction coefficients.
Kristoffer Gryte;An evidence-based approach to object pose estimation from LiDAR measurements in challenging environments.
Zhenghao Fei;An evidence-based approach to object pose estimation from LiDAR measurements in challenging environments.
Christine Strauss;An evidence-based approach to object pose estimation from LiDAR measurements in challenging environments.
Bruno N. Di Stefano;Visual inspection of hydroelectric dams using an autonomous underwater vehicle.
Vincent Rigaud;Visual inspection of hydroelectric dams using an autonomous underwater vehicle.
Rafik Djemili;Visual inspection of hydroelectric dams using an autonomous underwater vehicle.
Akash Kumar Gupta;Research on disturbance rejection motion control method of USV for UUV recovery.
Andreas Binder;Research on disturbance rejection motion control method of USV for UUV recovery.
Zoe Doulgeri;Research on disturbance rejection motion control method of USV for UUV recovery.
Andrea Caiti;Deep learning-based crop row detection for infield navigation of agri-robots.
Isaac Miller;Deep learning-based crop row detection for infield navigation of agri-robots.
Yang Gao 0002;Deep learning-based crop row detection for infield navigation of agri-robots.
Hans Hagen;Planetary Monocular Simultaneous Localization and Mapping.
Ana-Maria Suduc;Planetary Monocular Simultaneous Localization and Mapping.
Massimo Caccia;Planetary Monocular Simultaneous Localization and Mapping.
Lothar Fickert;Experimental analysis of low-altitude terrain following for hover-capable flight-style autonomous underwater vehicles.
Adam L. Houston;Experimental analysis of low-altitude terrain following for hover-capable flight-style autonomous underwater vehicles.
Geert Deconinck;Experimental analysis of low-altitude terrain following for hover-capable flight-style autonomous underwater vehicles.
Matthias Hofer 0004;Bioinspired Engineering of Exploration Systems: A Horizon Sensor/Attitude Reference System Based on the Dragonfly Ocelli for Mars Exploration Applications.
Frits K. van Evert;Bioinspired Engineering of Exploration Systems: A Horizon Sensor/Attitude Reference System Based on the Dragonfly Ocelli for Mars Exploration Applications.
Tomàs Margalef;Bioinspired Engineering of Exploration Systems: A Horizon Sensor/Attitude Reference System Based on the Dragonfly Ocelli for Mars Exploration Applications.
Roland Chapuis;Extended Jacobian inverse kinematics algorithms for mobile manipulators.
Adem Karahoca;Extended Jacobian inverse kinematics algorithms for mobile manipulators.
Ahmad Saeed;Extended Jacobian inverse kinematics algorithms for mobile manipulators.
Luca Muratore;Force and position control of grasp in multiple robotic mechanisms.
Kirk MacTavish;Force and position control of grasp in multiple robotic mechanisms.
Seral Özsen;Force and position control of grasp in multiple robotic mechanisms.
Tim C. Pearce;Traveling performance evaluation of planetary rovers on loose soil.
Ergun Gide;Traveling performance evaluation of planetary rovers on loose soil.
Jesse van den Kieboom;Traveling performance evaluation of planetary rovers on loose soil.
Franck Ruffier;Transmission friction in an electric mining shovel.
Wolfgang Bösch;Transmission friction in an electric mining shovel.
Bernd Löhlein;Transmission friction in an electric mining shovel.
Takashi Tsubouchi;Real- time geometric modeling using models in an actuator space and cartesian space.
Seyed Hamid Rezatofighi;Real- time geometric modeling using models in an actuator space and cartesian space.
Jürgen Fabian;Real- time geometric modeling using models in an actuator space and cartesian space.
Oussama Khatib;Terrain-aided navigation for long-endurance and deep-rated autonomous underwater vehicles.
Tomasz P. Zielinski;Terrain-aided navigation for long-endurance and deep-rated autonomous underwater vehicles.
G. Clark Haynes;Terrain-aided navigation for long-endurance and deep-rated autonomous underwater vehicles.
Joe Pitt-Francis;An autonomous ground robot to support firefighters' interventions in indoor emergencies.
Johannes Schnöller;An autonomous ground robot to support firefighters' interventions in indoor emergencies.
Hartmut Surmann;An autonomous ground robot to support firefighters' interventions in indoor emergencies.
Aleks Kissinger;Design of an unmanned ground vehicle, bearcat III, theory and practice.
Gerhard Jambrich;Design of an unmanned ground vehicle, bearcat III, theory and practice.
Isaac Miller;Design of an unmanned ground vehicle, bearcat III, theory and practice.
Mauro Sbragaglia;Lie Algebra and the Mobility of Kinematic Chains.
Peter Mandl 0002;Lie Algebra and the Mobility of Kinematic Chains.
Konstantin Lipnikov;Lie Algebra and the Mobility of Kinematic Chains.
Benedetto Allotta;Space Robotics Editorial.
Ben Schellenberg;Space Robotics Editorial.
Michael W. Hofbaur;Space Robotics Editorial.
Felix Krall;An on-line robot planning strategy for target interception.
Stefan Tauner;An on-line robot planning strategy for target interception.
Arno Pauly;An on-line robot planning strategy for target interception.
Martin J. Loomes;Multiposture leg tracking for temporarily vision restricted environments based on fusion of laser and radar sensor data.
